"Source Name"	"Characteristics[OTU name]"	"Row OTU id"	"Term Source REF"	"Term Access Number"	"Sample Name"	"Characters OTUs Group id"	"Number of Taxa in Sample Matrix"	"Number of Characters in Sample Matrix"	"Character Matrix Type"	
"row1563"	"Grifola sordulenta"	"Tl126179"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1564"	"Grifola frondosa WC836"	"Tl261"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1565"	"Grifola frondosa WC835"	"Tl238"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1566"	"Grifola frondosa WC834"	"Tl282"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1567"	"Grifola frondosa WC828"	"Tl266"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1568"	"Grifola frondosa WC808"	"Tl280"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1569"	"Grifola frondosa WC685"	"Tl257"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1570"	"Grifola frondosa WC659"	"Tl260"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1571"	"Grifola frondosa WC583"	"Tl270"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1572"	"Grifola frondosa WC582"	"Tl247"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1573"	"Grifola frondosa WC581"	"Tl256"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1574"	"Grifola frondosa WC557"	"Tl281"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1575"	"Grifola frondosa WC556"	"Tl244"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1576"	"Grifola frondosa WC555"	"Tl263"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1577"	"Grifola frondosa WC493"	"Tl279"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1578"	"Grifola frondosa WC483"	"Tl236"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1579"	"Grifola frondosa WC367"	"Tl252"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1580"	"Grifola frondosa WC364"	"Tl272"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1581"	"Grifola frondosa WC248"	"Tl249"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1582"	"Grifola frondosa M040"	"Tl275"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1583"	"Grifola frondosa M039"	"Tl274"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1584"	"Grifola frondosa M038"	"Tl233"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1585"	"Grifola frondosa M037"	"Tl258"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1586"	"Grifola frondosa M036"	"Tl254"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1587"	"Grifola frondosa M035"	"Tl269"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1588"	"Grifola frondosa M034"	"Tl242"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1589"	"Grifola frondosa M033"	"Tl239"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
"row1590"	"Grifola frondosa M032"	"Tl246"	""	""	"M83"	"Tls10691"	"52"	"1161"	"DNA"	
